V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.311594203,0.311594203,0.311594203,0.311594203,0.311594203,0.311594203,0.02173913,0.02173913,0.02173913,0.02173913,0.02173913,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.436758893,0.436758893,0.436758893,0.436758893,0.436758893,0.436758893,0.061264822,0.061264822,0.061264822,0.061264822,0.061264822,0.061264822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001976285,0.001976285,0.001976285,0.001976285,0.001976285,0.001976285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.544042914,0.544042914,0.544042914,0.544042914,0.544042914,0.544042914,0.114906832,0.114906832,0.114906832,0.114906832,0.114906832,0.114906832,0.003387916,0.003387916,0.003387916,0.003387916,0.003387916,0.003387916,0.003387916,0.003387916,0.003387916,0.003387916,0.003387916,0.003387916,0.003387916,0.003387916,0.003387916,0,0,0,0.007622812,0.007622812,0.007622812,0.007622812,0.007622812,0.007622812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41e-5,9.41e-5,9.41e-5,9.41e-5,9.41e-5,9.41e-5,0,0,0,0,0,0,0,0,0,0,0,0
0.635234331,0.635234331,0.635234331,0.635234331,0.635234331,0.635234331,0.179277244,0.179277244,0.179277244,0.179277244,0.179277244,0.179277244,0.014680971,0.014680971,0.014680971,0.014680971,0.014680971,0.014680971,0.014680971,0.014680971,0.014680971,0.014680971,0.014680971,0.014680971,0.014680971,0.014680971,0.014680971,0.02409185,0.02409185,0,0.018351214,0.018351214,0.018351214,0.018351214,0.018351214,0.018351214,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,5.65e-4,1.41e-4,1.41e-4,1.41e-4,1.41e-4,4.71e-4,4.71e-4,4.71e-4,4.71e-4,4.71e-4,4.71e-4,2.35e-5,2.35e-5,2.35e-5,2.35e-5,2.35e-5,2.35e-5,2.35e-5,2.35e-5,0,0,0,0
0.712027103,0.712027103,0.712027103,0.712027103,0.712027103,0.712027103,0.251270469,0.251270469,0.251270469,0.251270469,0.251270469,0.251270469,0.038010045,0.038010045,0.038010045,0.038010045,0.038010045,0.038010045,0.038010045,0.038010045,0.038010045,0.038010045,0.038010045,0.038010045,0.038010045,0.038010045,0.038010045,0.087491456,0.087491456,0.030431811,0.035290796,0.035290796,0.035290796,0.035290796,0.035290796,0.035290796,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,0.003016434,8.1e-4,8.1e-4,8.1e-4,8.1e-4,0.001411632,0.001411632,0.001411632,0.001411632,0.001411632,0.001411632,1.41e-4,1.41e-4,1.41e-4,1.41e-4,1.41e-4,1.41e-4,1.41e-4,1.41e-4,7.43e-6,7.43e-6,7.43e-6,7.43e-6
0.77602108,0.77602108,0.77602108,0.77602108,0.77602108,0.77602108,0.328063241,0.328063241,0.328063241,0.328063241,0.328063241,0.328063241,0.076208307,0.076208307,0.076208307,0.076208307,0.076208307,0.076208307,0.076208307,0.076208307,0.076208307,0.076208307,0.076208307,0.076208307,0.076208307,0.076208307,0.076208307,0.187874165,0.187874165,0.106511338,0.059288538,0.059288538,0.059288538,0.059288538,0.059288538,0.059288538,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.009361348,0.002704389,0.002704389,0.002704389,0.002704389,0.003293808,0.003293808,0.003293808,0.003293808,0.003293808,0.003293808,4.94e-4,4.94e-4,4.94e-4,4.94e-4,4.94e-4,4.94e-4,4.94e-4,4.94e-4,5.2e-5,5.2e-5,5.2e-5,5.2e-5
0.828722003,0.828722003,0.828722003,0.828722003,0.828722003,0.828722003,0.407114625,0.407114625,0.407114625,0.407114625,0.407114625,0.407114625,0.130377676,0.130377676,0.130377676,0.130377676,0.130377676,0.130377676,0.130377676,0.130377676,0.130377676,0.130377676,0.130377676,0.130377676,0.130377676,0.130377676,0.130377676,0.311876335,0.311876335,0.221376506,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.022038938,0.006864989,0.006864989,0.006864989,0.006864989,0.006587615,0.006587615,0.006587615,0.006587615,0.006587615,0.006587615,0.001317523,0.001317523,0.001317523,0.001317523,0.001317523,0.001317523,0.001317523,0.001317523,2.08e-4,2.08e-4,2.08e-4,2.08e-4
0.871541502,0.871541502,0.871541502,0.871541502,0.871541502,0.871541502,0.486166008,0.486166008,0.486166008,0.486166008,0.486166008,0.486166008,0.199818892,0.199818892,0.199818892,0.199818892,0.199818892,0.199818892,0.199818892,0.199818892,0.199818892,0.199818892,0.199818892,0.199818892,0.199818892,0.199818892,0.199818892,0.443519867,0.443519867,0.35712625,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.043576157,0.014666112,0.014666112,0.014666112,0.014666112,0.011857708,0.011857708,0.011857708,0.011857708,0.011857708,0.011857708,0.002964427,0.002964427,0.002964427,0.002964427,0.002964427,0.002964427,0.002964427,0.002964427,6.24e-4,6.24e-4,6.24e-4,6.24e-4
0.905797101,0.905797101,0.905797101,0.905797101,0.905797101,0.905797101,0.563241107,0.563241107,0.563241107,0.563241107,0.563241107,0.563241107,0.282223228,0.282223228,0.282223228,0.282223228,0.282223228,0.282223228,0.282223228,0.282223228,0.282223228,0.282223228,0.282223228,0.282223228,0.282223228,0.282223228,0.282223228,0.569479966,0.569479966,0.495356037,0.177865613,0.177865613,0.177865613,0.177865613,0.177865613,0.177865613,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.076212386,0.027771999,0.027771999,0.027771999,0.027771999,0.019762846,0.019762846,0.019762846,0.019762846,0.019762846,0.019762846,0.005928854,0.005928854,0.005928854,0.005928854,0.005928854,0.005928854,0.005928854,0.005928854,0.001560225,0.001560225,0.001560225,0.001560225
